sentence,sample_index,consistency_score
"He is often depicted as the epitome of genius, with his wild hair and mustache becoming iconic symbols of intellectual prowess.",4,0.11429708
"He publicly denounced Adolf Hitler and Nazi Germany, signed the Russo-English Treaty that sought to prevent another war between Russia and England, and helped establish the CIAM (Congrès International d'Architecture Moderne), an international organization aimed at improving living conditions and promoting modern architecture.",0,0.11467531
"He spoke out against racism and injustice, and he supported various peace movements throughout his life.",4,0.116066545
"He was an active supporter of civil rights, Zionism, and the state of Israel.",1,0.12525065
His iconic image as a mad scientist with wild hair and bushy eyebrows is instantly recognizable around the world.,0,0.12647909
This work contributed significantly to the development of modern molecular science.,4,0.15085334
The 'c' stands for the speed of light.,0,0.15559272
"During World War II, he worked on the Manhattan Project to develop an atomic bomb but later regretted his involvement and became a prominent advocate for nuclear disarmament.",4,0.16504104
"According to this theory, massive objects cause a distortion in spacetime, which produces the effect we perceive as gravity.",3,0.16990706
"Mass-Energy Equivalence (E = mc²): One of the most famous equations in science, E=mc² demonstrates that energy (E) and mass (m) are interchangeable; they are different forms of the same thing – energy quantum.",0,0.17977564
"His explanation of the photoelectric effect provided key insights into quantum mechanics and laid the foundation for future developments in electronics, including solar cells and semiconductors.",4,0.18236041
He was awarded the Nobel Prize in Physics in 1921 for this work.,4,0.18591554
"Previous theories could not explain this phenomenon, but Einstein's quantum theory of light (light quanta, or photons) provided a satisfactory explanation for the effect.",3,0.1908467
Influence on Popular Culture: Albert Einstein's image and legacy have had a significant impact on popular culture.,4,0.19251898
"This equation demonstrates that mass and energy can be converted into each other, providing the basis for nuclear power and atomic weapons.",3,0.19354005
"Mass-Energy Equivalence (Equation E=mc²): One of the most famous equations in the world, it shows that energy (E) is equal to mass (m) times the speed of light squared (c²).",2,0.19409563
"Although he did not succeed in this endeavor, his work laid the groundwork for modern attempts at grand unification theories such as string theory.",0,0.1942237
"Photoelectric Effect Explanation (1905): Albert Einstein explained the photoelectric effect, which occurs when light is shone onto a material and electrons are emitted from its surface.",3,0.19924709
"Mass-Energy Equivalence (E=mc²): A direct consequence of the theory of special relativity, Einstein's mass-energy equivalence equation indicates that energy and mass are interchangeable; a small amount of mass can be converted into a large amount of energy and vice versa.",1,0.20513509
This event led to the Manhattan Project and ultimately the creation of the first atomic bomb.,1,0.20590037
"Influence on Popular Culture: Einstein's intellectual legacy has had a significant impact on popular culture, including the development of science fiction, philosophy, music, and art.",0,0.2103669
"This equation demonstrates that mass can be converted into energy and vice versa, a concept that was crucial to the development of nuclear power and nuclear weapons.",2,0.21087185
This work earned him his first Nobel Prize in Physics in 1921.,1,0.21259268
"Humanitarian Efforts: In addition to his scientific achievements, Albert Einstein was known for his humanitarian efforts.",4,0.21483755
"General relativity has been confirmed through observations of the bending of light in the presence of massive objects, the precession of Mercury's orbit, and the existence of black holes and gravitational waves.",1,0.215742
"His famous equation, E=mc², has been widely used in advertising and popular media to represent groundbreaking discoveries and technological advancements.",4,0.21761471
"Photoelectric Effect (1905): Einstein explained the photoelectric effect, where electrons are emitted from a material when it absorbs light.",1,0.21854465
"It made predictions such as gravitational waves (which were finally detected in 2016) and the bending of light by massive objects, which was confirmed during the solar eclipse of 1919.",2,0.22088946
"It describes gravitation not as a force, but as a curvature of spacetime caused by mass and energy.",1,0.22261316
"Brownian Motion: In 1905, Einstein published a paper titled ""On the Movement of Small Particles Suspended in Fluids,"" which explained how the random motion of tiny particles suspended in a fluid (known as Brownian motion) could be used to measure the size and mass of molecules.",4,0.22395821
"It introduced two key concepts: that the laws of physics are the same for all observers moving at a constant velocity, relative to each other, and that the speed of light in a vacuum is constant, regardless of the motion of its source or the observer.",2,0.22536221
This work earned him the Nobel Prize in Physics in 1921.,3,0.22723441
"General relativity has been confirmed through numerous observations and experiments, including the bending of light by massive objects, the precession of Mercury's orbit, and gravitational waves (predicted by Einstein).",3,0.22954066
"Photoelectric Effect: In 1905, Einstein explained the photoelectric effect, where electrons are emitted from a material when it absorbs light.",2,0.23228206
"His theories continue to shape our world today, and his legacy inspires countless individuals who seek to make significant advances in science and technology.",4,0.23413302
This supported the atomic theory and was crucial in demonstrating the existence of atoms and molecules.,2,0.23507975
8.,0,0.23615314
Nuclear Energy: Einstein is also famous for warning the world about the potential dangers of nuclear power when he wrote the letter to President Franklin D. Roosevelt in 1939 urging the United States to pursue the development of atomic weapons before Nazi Germany did.,1,0.23773423
"Photoelectric Effect: In 1905, Einstein explained the photoelectric effect, which describes how light interacts with electrons in a material.",4,0.23964393
This work earned him the Nobel Prize in Physics in 1921.,0,0.24015342
It demonstrates that energy and mass are interchangeable and a small amount of matter can be converted into a large amount of energy—a principle that was harnessed in the development of nuclear weapons and atomic power.,4,0.2409128
"Brownian Motion: Although not his original idea, Einstein provided an exact mathematical description of Brownian motion, which is the random movement of particles suspended in a fluid due to collisions with the surrounding molecules.",2,0.24294825
His reputation as a world-renowned scientist brought attention to these causes and contributed to their progress.,1,0.24354628
"While he did not achieve this goal during his lifetime, his work on unified field theories laid the foundation for further advancements in theoretical physics.",1,0.2458857
7.,0,0.246396
"E=mc²: One of the most famous equations in science, E=mc² (Energy equals mass times the speed of light squared), came from Einstein's Special Theory of Relativity.",4,0.24686064
1.,0,0.24925597
6.,0,0.24984512
"This revolutionary theory fundamentally changed our understanding of space and time, stating that the laws of physics are the same for all observers moving at a constant velocity relative to one another, and that the speed of light in a vacuum is independent of the motion of all observers.",1,0.2505463
"Nobel Prize: Albert Einstein was awarded the Nobel Prize in Physics in 1921 ""for his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect,"" which he had explained in his 1905 paper on the photoelectric effect.",4,0.25151587
"Nobel Prize in Physics (1921): Albert Einstein received the Nobel Prize in Physics in 1921 for his work on the photoelectric effect, which was recognized as having made ""a significant contribution to the advancement of physics by providing an explanation for a phenomenon that was crucial to understanding the nature and behavior of light.""",3,0.25382966
Humanitarian Efforts: Einstein was a strong advocate for peace and justice.,0,0.25461617
"Theory of Special Relativity (1905): This theory revolutionized the understanding of space and time by showing that they are interwoven into a four-dimensional structure called spacetime, which is relative rather than absolute.",3,0.25470546
"He proposed that light consists of discrete energy packets, now known as photons.",1,0.25583065
8.,4,0.25682354
"Although he was not successful in his lifetime, the search for a unified field theory inspired later generations of physicists and played a crucial role in the development of modern theories such as string theory and supergravity.",3,0.25720847
1.,2,0.2573284
7.,1,0.25888047
5.,0,0.2588929
6.,2,0.26026356
1.,1,0.26057628
2.,0,0.2621031
"The theory also introduced the famous equation E=mc^2, where E represents energy, m stands for mass, and c is the speed of light.",3,0.26234174
1.,3,0.26311755
7.,3,0.26314327
6.,1,0.26398012
3.,0,0.2653331
"Although he never fully succeeded, his work paved the way for further developments in this area and inspired other physicists, such as Stephen Hawking, to continue exploring these ideas.",2,0.26748392
5.,2,0.2680248
"Development of the Quantum Theory of Light: In addition to explaining the photoelectric effect, Einstein's work on the quantum theory of light laid the foundation for our understanding of quantum mechanics, which is a fundamental framework used to describe the behavior of matter and energy at the smallest scales.",3,0.26895386
2.,2,0.26934117
7.,4,0.26952007
"Theory of Special Relativity (1905): Albert Einstein published his paper ""On the Electrodynamics of Moving Bodies,"" which introduced the theory of special relativity.",1,0.2696824
"The general theory of relativity extended the special theory to include acceleration and gravity, predicting phenomena such as gravitational waves, the bending of light in a gravitational field, and the expansion of the universe.",0,0.26997188
"General Theory of Relativity (1915): An extension of his special theory, Einstein's general theory described gravity as a curvature of spacetime caused by mass and energy.",2,0.2702533
5.,1,0.27130577
These groundbreaking theories have had a profound impact on our understanding of physics.,4,0.2717963
Theory of General Relativity (1915): This expanded upon special relativity by including gravity.,1,0.27201644
1.,4,0.27202952
6.,4,0.2724847
"Unified Field Theory: Throughout his life, Einstein struggled to develop a unified field theory that would combine gravity and electromagnetism into a single theoretical framework.",2,0.27269363
"Unified Field Theory: Throughout his career, Einstein pursued a unified theory of gravity and electromagnetism, aiming to find a mathematical description that would describe all fundamental forces in nature.",3,0.2729335
"Theory of General Relativity (1915): Building on his special relativity theory, Einstein's general theory of relativity provided a comprehensive explanation for the gravitational effects observed in the universe.",3,0.27337533
3.,2,0.2737763
2.,1,0.2746947
5.,3,0.27594516
2.,3,0.2769192
"Humanitarian Efforts: Einstein's activism extended beyond the realm of physics, as he became a vocal opponent of war and violence, including nuclear weapons.",1,0.27707443
4.,0,0.27742165
3.,1,0.2780118
"Contributions to Statistical Mechanics: Einstein made significant contributions to statistical mechanics through his study of the distribution of molecules in a gas and the derivation of the famous equation describing the average energy (E) of a single particle in an ideal gas at temperature T, known as the Einstein relation: E = 3/2 k_B T.

6.",3,0.2782156
"Photoelectric Effect (1905): Einstein explained the photoelectric effect by proposing that light consists of discrete packets of energy, which we now call photons.",0,0.27893847
"Although he was not successful in creating a fully consistent theory, his efforts laid the groundwork for further advancements in the fields of quantum mechanics and general relativity.",4,0.2809381
3.,3,0.28100064
5.,4,0.28154752
"Unified Field Theory: Throughout his career, Einstein worked on developing a unified field theory that would combine electromagnetism and gravity into a single, coherent framework.",4,0.2830829
2.,4,0.28391176
Special Theory of Relativity (1905): This revolutionary theory changed our understanding of space and time.,2,0.2840528
4.,2,0.2858756
"Development of the Unified Field Theory: Although he was never able to fully complete it, Einstein spent most of his scientific career seeking a unified theory of gravitation and electromagnetism, aiming to combine general relativity with quantum mechanics.",1,0.28747255
3.,4,0.28803962
4.,1,0.29105055
"Unified Field Theory: Einstein spent much of his later life attempting to develop a unified field theory that would describe all fundamental forces in the universe using a single mathematical framework, including electromagnetic force and gravitation.",0,0.29253864
4.,3,0.2936782
"Theory of Relativity: Albert Einstein is most famous for his two theories that describe gravity and the relationship between space and time, known as the Special Theory of Relativity (1905) and the General Theory of Relativity (1915).",4,0.29431447
"His explanation, that light behaves as discrete energy packets called photons, earned him the Nobel Prize in Physics in 1921.",2,0.30111828
4.,4,0.3014798
"Theory of Special Relativity (1905): Einstein published four papers in the Annus Mirabilis Year, one of which described his theory of special relativity, which fundamentally changed our understanding of space and time by showing that they are interconnected as a four-dimensional spacetime structure.",0,0.30183196
Einstein's contributions to science and our understanding of the universe have earned him a place among the most influential scientists in history.,4,0.3025754
"Despite this award being given for a different achievement than the theory of relativity, it is often associated with Einstein's broader contributions to science.",4,0.3058425
Theory of General Relativity (1915): This is Einstein's most famous achievement.,0,0.3216295
"Development of Quantum Theory: Although he had reservations about the complete accuracy of quantum mechanics, Einstein contributed significantly to its development through his work on the statistical nature of particles and the understanding of light as both a wave and a particle (wave-particle duality).",0,0.33003846
